VIN_NUMBER,CASE SPECIFICATION,ENGINE_NUMBER,FULL_VIN_NUMBER
904401,KB121,231130P0002204DTY,SALYA2AN9TL904401
904362,K1055,231130P0002204DTY,SALYA2N3TL904362
